序号,一致,本项目时间,CZSC时间,本项目OHLC,CZSC OHLC,本项目原始K数,CZSC原始K数,本项目原始范围,CZSC原始范围
178,True,2019-10-24 23:00:00+00:00,2019-10-24 23:00:00+00:00,7465.75/7465.75/7430.16/7430.16,7465.75/7465.75/7430.16/7430.16,2,2,2019-10-24T22:00:00+00:00 ~ 2019-10-24T23:00:00+00:00,2019-10-24T22:00:00+00:00 ~ 2019-10-24T23:00:00+00:00
179,True,2019-10-25 00:00:00+00:00,2019-10-25 00:00:00+00:00,7412.41/7434.1/7411.94/7421.29,7412.41/7434.1/7411.94/7421.29,1,1,2019-10-25T00:00:00+00:00 ~ 2019-10-25T00:00:00+00:00,2019-10-25T00:00:00+00:00 ~ 2019-10-25T00:00:00+00:00
180,True,2019-10-25 01:00:00+00:00,2019-10-25 01:00:00+00:00,7420.63/7446.69/7418.66/7437.99,7420.63/7446.69/7418.66/7437.99,1,1,2019-10-25T01:00:00+00:00 ~ 2019-10-25T01:00:00+00:00,2019-10-25T01:00:00+00:00 ~ 2019-10-25T01:00:00+00:00
181,True,2019-10-25 02:00:00+00:00,2019-10-25 02:00:00+00:00,7427.81/7459.29/7427.81/7459.29,7427.81/7459.29/7427.81/7459.29,2,2,2019-10-25T02:00:00+00:00 ~ 2019-10-25T03:00:00+00:00,2019-10-25T02:00:00+00:00 ~ 2019-10-25T03:00:00+00:00
182,True,2019-10-25 05:00:00+00:00,2019-10-25 05:00:00+00:00,7361/7442.95/7361/7442.95,7361/7442.95/7361/7442.95,2,2,2019-10-25T04:00:00+00:00 ~ 2019-10-25T05:00:00+00:00,2019-10-25T04:00:00+00:00 ~ 2019-10-25T05:00:00+00:00
183,True,2019-10-25 06:00:00+00:00,2019-10-25 06:00:00+00:00,7447.19/7464.78/7437.14/7443.78,7447.19/7464.78/7437.14/7443.78,1,1,2019-10-25T06:00:00+00:00 ~ 2019-10-25T06:00:00+00:00,2019-10-25T06:00:00+00:00 ~ 2019-10-25T06:00:00+00:00
184,True,2019-10-25 07:00:00+00:00,2019-10-25 07:00:00+00:00,7443.78/7469/7441.82/7462.79,7443.78/7469/7441.82/7462.79,1,1,2019-10-25T07:00:00+00:00 ~ 2019-10-25T07:00:00+00:00,2019-10-25T07:00:00+00:00 ~ 2019-10-25T07:00:00+00:00
185,True,2019-10-25 08:00:00+00:00,2019-10-25 08:00:00+00:00,7461.72/7475/7444.01/7444.61,7461.72/7475/7444.01/7444.61,1,1,2019-10-25T08:00:00+00:00 ~ 2019-10-25T08:00:00+00:00,2019-10-25T08:00:00+00:00 ~ 2019-10-25T08:00:00+00:00
186,True,2019-10-25 10:00:00+00:00,2019-10-25 10:00:00+00:00,7439/7459.95/7439/7459.95,7439/7459.95/7439/7459.95,2,2,2019-10-25T09:00:00+00:00 ~ 2019-10-25T10:00:00+00:00,2019-10-25T09:00:00+00:00 ~ 2019-10-25T10:00:00+00:00
187,True,2019-10-25 11:00:00+00:00,2019-10-25 11:00:00+00:00,7585.36/7642.58/7564.65/7581.1,7585.36/7642.58/7564.65/7581.1,1,1,2019-10-25T11:00:00+00:00 ~ 2019-10-25T11:00:00+00:00,2019-10-25T11:00:00+00:00 ~ 2019-10-25T11:00:00+00:00
188,True,2019-10-25 12:00:00+00:00,2019-10-25 12:00:00+00:00,7578/7649.99/7578/7619.04,7578/7649.99/7578/7619.04,1,1,2019-10-25T12:00:00+00:00 ~ 2019-10-25T12:00:00+00:00,2019-10-25T12:00:00+00:00 ~ 2019-10-25T12:00:00+00:00
189,True,2019-10-25 13:00:00+00:00,2019-10-25 13:00:00+00:00,7619.46/7688/7611.47/7668.34,7619.46/7688/7611.47/7668.34,1,1,2019-10-25T13:00:00+00:00 ~ 2019-10-25T13:00:00+00:00,2019-10-25T13:00:00+00:00 ~ 2019-10-25T13:00:00+00:00
190,True,2019-10-25 14:00:00+00:00,2019-10-25 14:00:00+00:00,7668.7/7694.44/7638.39/7668.8,7668.7/7694.44/7638.39/7668.8,1,1,2019-10-25T14:00:00+00:00 ~ 2019-10-25T14:00:00+00:00,2019-10-25T14:00:00+00:00 ~ 2019-10-25T14:00:00+00:00
191,True,2019-10-25 15:00:00+00:00,2019-10-25 15:00:00+00:00,7669.8/8403.95/7668.12/8263.16,7669.8/8403.95/7668.12/8263.16,1,1,2019-10-25T15:00:00+00:00 ~ 2019-10-25T15:00:00+00:00,2019-10-25T15:00:00+00:00 ~ 2019-10-25T15:00:00+00:00
192,True,2019-10-25 16:00:00+00:00,2019-10-25 16:00:00+00:00,8262.95/8490/8247.3/8393.21,8262.95/8490/8247.3/8393.21,1,1,2019-10-25T16:00:00+00:00 ~ 2019-10-25T16:00:00+00:00,2019-10-25T16:00:00+00:00 ~ 2019-10-25T16:00:00+00:00
193,True,2019-10-25 17:00:00+00:00,2019-10-25 17:00:00+00:00,8540/8799/8540/8799,8540/8799/8540/8799,3,3,2019-10-25T17:00:00+00:00 ~ 2019-10-25T19:00:00+00:00,2019-10-25T17:00:00+00:00 ~ 2019-10-25T19:00:00+00:00
194,True,2019-10-25 20:00:00+00:00,2019-10-25 20:00:00+00:00,8535/8635.63/8535/8635.63,8535/8635.63/8535/8635.63,2,2,2019-10-25T20:00:00+00:00 ~ 2019-10-25T21:00:00+00:00,2019-10-25T20:00:00+00:00 ~ 2019-10-25T21:00:00+00:00
195,True,2019-10-26 00:00:00+00:00,2019-10-26 00:00:00+00:00,8590.18/9371.4/8590.18/9371.4,8590.18/9371.4/8590.18/9371.4,3,3,2019-10-25T22:00:00+00:00 ~ 2019-10-26T00:00:00+00:00,2019-10-25T22:00:00+00:00 ~ 2019-10-26T00:00:00+00:00
196,True,2019-10-26 01:00:00+00:00,2019-10-26 01:00:00+00:00,10370/10370/9560/9560,10370/10370/9560/9560,2,2,2019-10-26T01:00:00+00:00 ~ 2019-10-26T02:00:00+00:00,2019-10-26T01:00:00+00:00 ~ 2019-10-26T02:00:00+00:00
197,True,2019-10-26 03:00:00+00:00,2019-10-26 03:00:00+00:00,9415/9663.46/9415/9663.46,9415/9663.46/9415/9663.46,2,2,2019-10-26T03:00:00+00:00 ~ 2019-10-26T04:00:00+00:00,2019-10-26T03:00:00+00:00 ~ 2019-10-26T04:00:00+00:00
198,True,2019-10-26 05:00:00+00:00,2019-10-26 05:00:00+00:00,9605.24/9777/9592.39/9594.88,9605.24/9777/9592.39/9594.88,1,1,2019-10-26T05:00:00+00:00 ~ 2019-10-26T05:00:00+00:00,2019-10-26T05:00:00+00:00 ~ 2019-10-26T05:00:00+00:00
199,True,2019-10-26 06:00:00+00:00,2019-10-26 06:00:00+00:00,9594.98/9632.18/9526.13/9585.89,9594.98/9632.18/9526.13/9585.89,1,1,2019-10-26T06:00:00+00:00 ~ 2019-10-26T06:00:00+00:00,2019-10-26T06:00:00+00:00 ~ 2019-10-26T06:00:00+00:00
200,True,2019-10-26 07:00:00+00:00,2019-10-26 07:00:00+00:00,9486.58/9486.58/9301.01/9301.01,9486.58/9486.58/9301.01/9301.01,2,2,2019-10-26T07:00:00+00:00 ~ 2019-10-26T08:00:00+00:00,2019-10-26T07:00:00+00:00 ~ 2019-10-26T08:00:00+00:00
201,True,2019-10-26 09:00:00+00:00,2019-10-26 09:00:00+00:00,9311.81/9311.81/8970/8970,9311.81/9311.81/8970/8970,3,3,2019-10-26T09:00:00+00:00 ~ 2019-10-26T11:00:00+00:00,2019-10-26T09:00:00+00:00 ~ 2019-10-26T11:00:00+00:00
202,True,2019-10-26 12:00:00+00:00,2019-10-26 12:00:00+00:00,9224.13/9444.44/9182.17/9269.09,9224.13/9444.44/9182.17/9269.09,1,1,2019-10-26T12:00:00+00:00 ~ 2019-10-26T12:00:00+00:00,2019-10-26T12:00:00+00:00 ~ 2019-10-26T12:00:00+00:00
203,True,2019-10-26 13:00:00+00:00,2019-10-26 13:00:00+00:00,9270/9272.8/9059/9105.56,9270/9272.8/9059/9105.56,1,1,2019-10-26T13:00:00+00:00 ~ 2019-10-26T13:00:00+00:00,2019-10-26T13:00:00+00:00 ~ 2019-10-26T13:00:00+00:00
204,True,2019-10-26 14:00:00+00:00,2019-10-26 14:00:00+00:00,9102.1/9210/9051/9154.32,9102.1/9210/9051/9154.32,1,1,2019-10-26T14:00:00+00:00 ~ 2019-10-26T14:00:00+00:00,2019-10-26T14:00:00+00:00 ~ 2019-10-26T14:00:00+00:00
205,True,2019-10-26 15:00:00+00:00,2019-10-26 15:00:00+00:00,9154.78/9297.76/9128/9196.53,9154.78/9297.76/9128/9196.53,1,1,2019-10-26T15:00:00+00:00 ~ 2019-10-26T15:00:00+00:00,2019-10-26T15:00:00+00:00 ~ 2019-10-26T15:00:00+00:00
206,True,2019-10-26 16:00:00+00:00,2019-10-26 16:00:00+00:00,9170/9170/9050/9050,9170/9170/9050/9050,2,2,2019-10-26T16:00:00+00:00 ~ 2019-10-26T17:00:00+00:00,2019-10-26T16:00:00+00:00 ~ 2019-10-26T17:00:00+00:00
207,True,2019-10-26 18:00:00+00:00,2019-10-26 18:00:00+00:00,9131.07/9164.63/8855.5/9072.01,9131.07/9164.63/8855.5/9072.01,1,1,2019-10-26T18:00:00+00:00 ~ 2019-10-26T18:00:00+00:00,2019-10-26T18:00:00+00:00 ~ 2019-10-26T18:00:00+00:00
208,True,2019-10-26 19:00:00+00:00,2019-10-26 19:00:00+00:00,8994.79/9170/8994.79/9170,8994.79/9170/8994.79/9170,2,2,2019-10-26T19:00:00+00:00 ~ 2019-10-26T20:00:00+00:00,2019-10-26T19:00:00+00:00 ~ 2019-10-26T20:00:00+00:00
209,True,2019-10-26 21:00:00+00:00,2019-10-26 21:00:00+00:00,9108.71/9228.18/9074.34/9214.03,9108.71/9228.18/9074.34/9214.03,1,1,2019-10-26T21:00:00+00:00 ~ 2019-10-26T21:00:00+00:00,2019-10-26T21:00:00+00:00 ~ 2019-10-26T21:00:00+00:00
210,True,2019-10-26 23:00:00+00:00,2019-10-26 23:00:00+00:00,9120/9289.7/9120/9289.7,9120/9289.7/9120/9289.7,2,2,2019-10-26T22:00:00+00:00 ~ 2019-10-26T23:00:00+00:00,2019-10-26T22:00:00+00:00 ~ 2019-10-26T23:00:00+00:00
211,True,2019-10-27 00:00:00+00:00,2019-10-27 00:00:00+00:00,9230/9369.8/9175/9217,9230/9369.8/9175/9217,1,1,2019-10-27T00:00:00+00:00 ~ 2019-10-27T00:00:00+00:00,2019-10-27T00:00:00+00:00 ~ 2019-10-27T00:00:00+00:00
212,True,2019-10-27 01:00:00+00:00,2019-10-27 01:00:00+00:00,9096/9187.6/9096/9187.6,9096/9187.6/9096/9187.6,2,2,2019-10-27T01:00:00+00:00 ~ 2019-10-27T02:00:00+00:00,2019-10-27T01:00:00+00:00 ~ 2019-10-27T02:00:00+00:00
213,True,2019-10-27 03:00:00+00:00,2019-10-27 03:00:00+00:00,9175.3/9205.21/9112.82/9131.61,9175.3/9205.21/9112.82/9131.61,1,1,2019-10-27T03:00:00+00:00 ~ 2019-10-27T03:00:00+00:00,2019-10-27T03:00:00+00:00 ~ 2019-10-27T03:00:00+00:00
214,True,2019-10-27 04:00:00+00:00,2019-10-27 04:00:00+00:00,9130.26/9145.6/9074.34/9099.42,9130.26/9145.6/9074.34/9099.42,1,1,2019-10-27T04:00:00+00:00 ~ 2019-10-27T04:00:00+00:00,2019-10-27T04:00:00+00:00 ~ 2019-10-27T04:00:00+00:00
215,True,2019-10-27 05:00:00+00:00,2019-10-27 05:00:00+00:00,9100/9187.61/9086.44/9180,9100/9187.61/9086.44/9180,1,1,2019-10-27T05:00:00+00:00 ~ 2019-10-27T05:00:00+00:00,2019-10-27T05:00:00+00:00 ~ 2019-10-27T05:00:00+00:00
216,True,2019-10-27 07:00:00+00:00,2019-10-27 07:00:00+00:00,9206.13/9206.13/9137/9137,9206.13/9206.13/9137/9137,2,2,2019-10-27T06:00:00+00:00 ~ 2019-10-27T07:00:00+00:00,2019-10-27T06:00:00+00:00 ~ 2019-10-27T07:00:00+00:00
217,True,2019-10-27 08:00:00+00:00,2019-10-27 08:00:00+00:00,9148.84/9282.18/9147.29/9242.61,9148.84/9282.18/9147.29/9242.61,1,1,2019-10-27T08:00:00+00:00 ~ 2019-10-27T08:00:00+00:00,2019-10-27T08:00:00+00:00 ~ 2019-10-27T08:00:00+00:00
218,True,2019-10-27 09:00:00+00:00,2019-10-27 09:00:00+00:00,9242.63/9299/9211/9232.65,9242.63/9299/9211/9232.65,1,1,2019-10-27T09:00:00+00:00 ~ 2019-10-27T09:00:00+00:00,2019-10-27T09:00:00+00:00 ~ 2019-10-27T09:00:00+00:00
219,True,2019-10-27 11:00:00+00:00,2019-10-27 11:00:00+00:00,9642.99/9642.99/9230.88/9230.88,9642.99/9642.99/9230.88/9230.88,2,2,2019-10-27T10:00:00+00:00 ~ 2019-10-27T11:00:00+00:00,2019-10-27T10:00:00+00:00 ~ 2019-10-27T11:00:00+00:00
220,True,2019-10-27 12:00:00+00:00,2019-10-27 12:00:00+00:00,9275.71/9328.05/9211.19/9301,9275.71/9328.05/9211.19/9301,1,1,2019-10-27T12:00:00+00:00 ~ 2019-10-27T12:00:00+00:00,2019-10-27T12:00:00+00:00 ~ 2019-10-27T12:00:00+00:00
221,True,2019-10-27 13:00:00+00:00,2019-10-27 13:00:00+00:00,9301.76/9521.11/9301/9439.74,9301.76/9521.11/9301/9439.74,1,1,2019-10-27T13:00:00+00:00 ~ 2019-10-27T13:00:00+00:00,2019-10-27T13:00:00+00:00 ~ 2019-10-27T13:00:00+00:00
222,True,2019-10-27 14:00:00+00:00,2019-10-27 14:00:00+00:00,9441.21/9579/9360/9526.91,9441.21/9579/9360/9526.91,1,1,2019-10-27T14:00:00+00:00 ~ 2019-10-27T14:00:00+00:00,2019-10-27T14:00:00+00:00 ~ 2019-10-27T14:00:00+00:00
223,True,2019-10-27 16:00:00+00:00,2019-10-27 16:00:00+00:00,9774.98/9774.98/9600/9600,9774.98/9774.98/9600/9600,4,4,2019-10-27T15:00:00+00:00 ~ 2019-10-27T18:00:00+00:00,2019-10-27T15:00:00+00:00 ~ 2019-10-27T18:00:00+00:00
224,True,2019-10-27 19:00:00+00:00,2019-10-27 19:00:00+00:00,9632.52/9794.98/9615.46/9712.73,9632.52/9794.98/9615.46/9712.73,1,1,2019-10-27T19:00:00+00:00 ~ 2019-10-27T19:00:00+00:00,2019-10-27T19:00:00+00:00 ~ 2019-10-27T19:00:00+00:00
225,True,2019-10-27 20:00:00+00:00,2019-10-27 20:00:00+00:00,9712/9749/9504.77/9590.23,9712/9749/9504.77/9590.23,1,1,2019-10-27T20:00:00+00:00 ~ 2019-10-27T20:00:00+00:00,2019-10-27T20:00:00+00:00 ~ 2019-10-27T20:00:00+00:00
226,True,2019-10-27 21:00:00+00:00,2019-10-27 21:00:00+00:00,9700/9700/9476/9476,9700/9700/9476/9476,2,2,2019-10-27T21:00:00+00:00 ~ 2019-10-27T22:00:00+00:00,2019-10-27T21:00:00+00:00 ~ 2019-10-27T22:00:00+00:00
227,True,2019-10-27 23:00:00+00:00,2019-10-27 23:00:00+00:00,9561.21/9581.37/9420/9529.93,9561.21/9581.37/9420/9529.93,1,1,2019-10-27T23:00:00+00:00 ~ 2019-10-27T23:00:00+00:00,2019-10-27T23:00:00+00:00 ~ 2019-10-27T23:00:00+00:00
228,True,2019-10-28 00:00:00+00:00,2019-10-28 00:00:00+00:00,9528.23/9702.8/9527.17/9696.1,9528.23/9702.8/9527.17/9696.1,1,1,2019-10-28T00:00:00+00:00 ~ 2019-10-28T00:00:00+00:00,2019-10-28T00:00:00+00:00 ~ 2019-10-28T00:00:00+00:00
229,True,2019-10-28 01:00:00+00:00,2019-10-28 01:00:00+00:00,9643.2/9902.1/9643.2/9902.1,9643.2/9902.1/9643.2/9902.1,2,2,2019-10-28T01:00:00+00:00 ~ 2019-10-28T02:00:00+00:00,2019-10-28T01:00:00+00:00 ~ 2019-10-28T02:00:00+00:00
230,True,2019-10-28 03:00:00+00:00,2019-10-28 03:00:00+00:00,9736.02/9743.48/9592/9615.45,9736.02/9743.48/9592/9615.45,1,1,2019-10-28T03:00:00+00:00 ~ 2019-10-28T03:00:00+00:00,2019-10-28T03:00:00+00:00 ~ 2019-10-28T03:00:00+00:00
231,True,2019-10-28 04:00:00+00:00,2019-10-28 04:00:00+00:00,9615.73/9636.94/9525/9612.53,9615.73/9636.94/9525/9612.53,1,1,2019-10-28T04:00:00+00:00 ~ 2019-10-28T04:00:00+00:00,2019-10-28T04:00:00+00:00 ~ 2019-10-28T04:00:00+00:00
232,True,2019-10-28 05:00:00+00:00,2019-10-28 05:00:00+00:00,9612.53/9679.26/9593.1/9605.14,9612.53/9679.26/9593.1/9605.14,1,1,2019-10-28T05:00:00+00:00 ~ 2019-10-28T05:00:00+00:00,2019-10-28T05:00:00+00:00 ~ 2019-10-28T05:00:00+00:00
233,True,2019-10-28 06:00:00+00:00,2019-10-28 06:00:00+00:00,9454.5/9454.5/9322.52/9322.52,9454.5/9454.5/9322.52/9322.52,2,2,2019-10-28T06:00:00+00:00 ~ 2019-10-28T07:00:00+00:00,2019-10-28T06:00:00+00:00 ~ 2019-10-28T07:00:00+00:00
234,True,2019-10-28 08:00:00+00:00,2019-10-28 08:00:00+00:00,9265/9420/9265/9420,9265/9420/9265/9420,2,2,2019-10-28T08:00:00+00:00 ~ 2019-10-28T09:00:00+00:00,2019-10-28T08:00:00+00:00 ~ 2019-10-28T09:00:00+00:00
235,True,2019-10-28 10:00:00+00:00,2019-10-28 10:00:00+00:00,9400.11/9468.75/9344.93/9412,9400.11/9468.75/9344.93/9412,1,1,2019-10-28T10:00:00+00:00 ~ 2019-10-28T10:00:00+00:00,2019-10-28T10:00:00+00:00 ~ 2019-10-28T10:00:00+00:00
236,True,2019-10-28 11:00:00+00:00,2019-10-28 11:00:00+00:00,9412.78/9440.62/9339.77/9407.91,9412.78/9440.62/9339.77/9407.91,1,1,2019-10-28T11:00:00+00:00 ~ 2019-10-28T11:00:00+00:00,2019-10-28T11:00:00+00:00 ~ 2019-10-28T11:00:00+00:00
237,True,2019-10-28 12:00:00+00:00,2019-10-28 12:00:00+00:00,9407.91/9410/9254/9323.07,9407.91/9410/9254/9323.07,1,1,2019-10-28T12:00:00+00:00 ~ 2019-10-28T12:00:00+00:00,2019-10-28T12:00:00+00:00 ~ 2019-10-28T12:00:00+00:00
238,True,2019-10-28 13:00:00+00:00,2019-10-28 13:00:00+00:00,9323.6/9415/9297.25/9357.53,9323.6/9415/9297.25/9357.53,1,1,2019-10-28T13:00:00+00:00 ~ 2019-10-28T13:00:00+00:00,2019-10-28T13:00:00+00:00 ~ 2019-10-28T13:00:00+00:00
239,True,2019-10-28 14:00:00+00:00,2019-10-28 14:00:00+00:00,9357.54/9374/9292.71/9332.71,9357.54/9374/9292.71/9332.71,1,1,2019-10-28T14:00:00+00:00 ~ 2019-10-28T14:00:00+00:00,2019-10-28T14:00:00+00:00 ~ 2019-10-28T14:00:00+00:00
240,True,2019-10-28 15:00:00+00:00,2019-10-28 15:00:00+00:00,9332.53/9399.94/9310/9376.21,9332.53/9399.94/9310/9376.21,1,1,2019-10-28T15:00:00+00:00 ~ 2019-10-28T15:00:00+00:00,2019-10-28T15:00:00+00:00 ~ 2019-10-28T15:00:00+00:00
241,True,2019-10-28 16:00:00+00:00,2019-10-28 16:00:00+00:00,9376.22/9400/9323.57/9351.69,9376.22/9400/9323.57/9351.69,1,1,2019-10-28T16:00:00+00:00 ~ 2019-10-28T16:00:00+00:00,2019-10-28T16:00:00+00:00 ~ 2019-10-28T16:00:00+00:00
242,True,2019-10-28 17:00:00+00:00,2019-10-28 17:00:00+00:00,9351.69/9368/9320.23/9355.69,9351.69/9368/9320.23/9355.69,1,1,2019-10-28T17:00:00+00:00 ~ 2019-10-28T17:00:00+00:00,2019-10-28T17:00:00+00:00 ~ 2019-10-28T17:00:00+00:00
243,True,2019-10-28 18:00:00+00:00,2019-10-28 18:00:00+00:00,9402.74/9478.93/9402.74/9478.93,9402.74/9478.93/9402.74/9478.93,4,4,2019-10-28T18:00:00+00:00 ~ 2019-10-28T21:00:00+00:00,2019-10-28T18:00:00+00:00 ~ 2019-10-28T21:00:00+00:00
244,True,2019-10-28 23:00:00+00:00,2019-10-28 23:00:00+00:00,9160/9288/9160/9288,9160/9288/9160/9288,3,3,2019-10-28T22:00:00+00:00 ~ 2019-10-29T00:00:00+00:00,2019-10-28T22:00:00+00:00 ~ 2019-10-29T00:00:00+00:00
245,True,2019-10-29 01:00:00+00:00,2019-10-29 01:00:00+00:00,9238.02/9306.43/9238.02/9306.43,9238.02/9306.43/9238.02/9306.43,3,3,2019-10-29T01:00:00+00:00 ~ 2019-10-29T03:00:00+00:00,2019-10-29T01:00:00+00:00 ~ 2019-10-29T03:00:00+00:00
246,True,2019-10-29 04:00:00+00:00,2019-10-29 04:00:00+00:00,9285.78/9450/9283.93/9416,9285.78/9450/9283.93/9416,1,1,2019-10-29T04:00:00+00:00 ~ 2019-10-29T04:00:00+00:00,2019-10-29T04:00:00+00:00 ~ 2019-10-29T04:00:00+00:00
247,True,2019-10-29 05:00:00+00:00,2019-10-29 05:00:00+00:00,9425.99/9550/9425.99/9550,9425.99/9550/9425.99/9550,3,3,2019-10-29T05:00:00+00:00 ~ 2019-10-29T07:00:00+00:00,2019-10-29T05:00:00+00:00 ~ 2019-10-29T07:00:00+00:00
248,True,2019-10-29 08:00:00+00:00,2019-10-29 08:00:00+00:00,9441.56/9467.45/9391.89/9418.06,9441.56/9467.45/9391.89/9418.06,1,1,2019-10-29T08:00:00+00:00 ~ 2019-10-29T08:00:00+00:00,2019-10-29T08:00:00+00:00 ~ 2019-10-29T08:00:00+00:00
249,True,2019-10-29 09:00:00+00:00,2019-10-29 09:00:00+00:00,9417.5/9421.01/9351/9384.9,9417.5/9421.01/9351/9384.9,1,1,2019-10-29T09:00:00+00:00 ~ 2019-10-29T09:00:00+00:00,2019-10-29T09:00:00+00:00 ~ 2019-10-29T09:00:00+00:00
250,True,2019-10-29 10:00:00+00:00,2019-10-29 10:00:00+00:00,9385.35/9490.1/9382.78/9447.98,9385.35/9490.1/9382.78/9447.98,1,1,2019-10-29T10:00:00+00:00 ~ 2019-10-29T10:00:00+00:00,2019-10-29T10:00:00+00:00 ~ 2019-10-29T10:00:00+00:00
251,True,2019-10-29 12:00:00+00:00,2019-10-29 12:00:00+00:00,9459.8/9459.8/9366.04/9366.04,9459.8/9459.8/9366.04/9366.04,2,2,2019-10-29T11:00:00+00:00 ~ 2019-10-29T12:00:00+00:00,2019-10-29T11:00:00+00:00 ~ 2019-10-29T12:00:00+00:00
252,True,2019-10-29 13:00:00+00:00,2019-10-29 13:00:00+00:00,9365.01/9365.01/9265.83/9265.83,9365.01/9365.01/9265.83/9265.83,3,3,2019-10-29T13:00:00+00:00 ~ 2019-10-29T15:00:00+00:00,2019-10-29T13:00:00+00:00 ~ 2019-10-29T15:00:00+00:00
253,True,2019-10-29 16:00:00+00:00,2019-10-29 16:00:00+00:00,9256.91/9354.88/9256.91/9354.88,9256.91/9354.88/9256.91/9354.88,2,2,2019-10-29T16:00:00+00:00 ~ 2019-10-29T17:00:00+00:00,2019-10-29T16:00:00+00:00 ~ 2019-10-29T17:00:00+00:00
254,True,2019-10-29 18:00:00+00:00,2019-10-29 18:00:00+00:00,9318.49/9397/9303/9357.06,9318.49/9397/9303/9357.06,1,1,2019-10-29T18:00:00+00:00 ~ 2019-10-29T18:00:00+00:00,2019-10-29T18:00:00+00:00 ~ 2019-10-29T18:00:00+00:00
255,True,2019-10-29 19:00:00+00:00,2019-10-29 19:00:00+00:00,9356.96/9384.73/9072/9225.09,9356.96/9384.73/9072/9225.09,1,1,2019-10-29T19:00:00+00:00 ~ 2019-10-29T19:00:00+00:00,2019-10-29T19:00:00+00:00 ~ 2019-10-29T19:00:00+00:00
256,True,2019-10-29 20:00:00+00:00,2019-10-29 20:00:00+00:00,9395.4/9482/9395.4/9482,9395.4/9482/9395.4/9482,3,3,2019-10-29T20:00:00+00:00 ~ 2019-10-29T22:00:00+00:00,2019-10-29T20:00:00+00:00 ~ 2019-10-29T22:00:00+00:00
257,True,2019-10-29 23:00:00+00:00,2019-10-29 23:00:00+00:00,9438.82/9449.69/9390/9407.62,9438.82/9449.69/9390/9407.62,1,1,2019-10-29T23:00:00+00:00 ~ 2019-10-29T23:00:00+00:00,2019-10-29T23:00:00+00:00 ~ 2019-10-29T23:00:00+00:00
258,True,2019-10-30 00:00:00+00:00,2019-10-30 00:00:00+00:00,9245.01/9390/9245.01/9390,9245.01/9390/9245.01/9390,2,2,2019-10-30T00:00:00+00:00 ~ 2019-10-30T01:00:00+00:00,2019-10-30T00:00:00+00:00 ~ 2019-10-30T01:00:00+00:00
259,True,2019-10-30 02:00:00+00:00,2019-10-30 02:00:00+00:00,9380.12/9394.84/9272.57/9309.08,9380.12/9394.84/9272.57/9309.08,1,1,2019-10-30T02:00:00+00:00 ~ 2019-10-30T02:00:00+00:00,2019-10-30T02:00:00+00:00 ~ 2019-10-30T02:00:00+00:00
260,True,2019-10-30 04:00:00+00:00,2019-10-30 04:00:00+00:00,9321.96/9321.96/9212.2/9212.2,9321.96/9321.96/9212.2/9212.2,2,2,2019-10-30T03:00:00+00:00 ~ 2019-10-30T04:00:00+00:00,2019-10-30T03:00:00+00:00 ~ 2019-10-30T04:00:00+00:00
261,True,2019-10-30 07:00:00+00:00,2019-10-30 07:00:00+00:00,9151/9234/9151/9234,9151/9234/9151/9234,4,4,2019-10-30T05:00:00+00:00 ~ 2019-10-30T08:00:00+00:00,2019-10-30T05:00:00+00:00 ~ 2019-10-30T08:00:00+00:00
262,True,2019-10-30 09:00:00+00:00,2019-10-30 09:00:00+00:00,9192.85/9248.79/9191.55/9219.36,9192.85/9248.79/9191.55/9219.36,1,1,2019-10-30T09:00:00+00:00 ~ 2019-10-30T09:00:00+00:00,2019-10-30T09:00:00+00:00 ~ 2019-10-30T09:00:00+00:00
263,True,2019-10-30 10:00:00+00:00,2019-10-30 10:00:00+00:00,9219.98/9222.02/9023/9114.62,9219.98/9222.02/9023/9114.62,1,1,2019-10-30T10:00:00+00:00 ~ 2019-10-30T10:00:00+00:00,2019-10-30T10:00:00+00:00 ~ 2019-10-30T10:00:00+00:00
264,True,2019-10-30 11:00:00+00:00,2019-10-30 11:00:00+00:00,9113.29/9115/9018/9097.69,9113.29/9115/9018/9097.69,1,1,2019-10-30T11:00:00+00:00 ~ 2019-10-30T11:00:00+00:00,2019-10-30T11:00:00+00:00 ~ 2019-10-30T11:00:00+00:00
265,True,2019-10-30 12:00:00+00:00,2019-10-30 12:00:00+00:00,9096.23/9172.41/9076.84/9123.32,9096.23/9172.41/9076.84/9123.32,1,1,2019-10-30T12:00:00+00:00 ~ 2019-10-30T12:00:00+00:00,2019-10-30T12:00:00+00:00 ~ 2019-10-30T12:00:00+00:00
266,True,2019-10-30 13:00:00+00:00,2019-10-30 13:00:00+00:00,9123.33/9142.39/9028.25/9042.72,9123.33/9142.39/9028.25/9042.72,1,1,2019-10-30T13:00:00+00:00 ~ 2019-10-30T13:00:00+00:00,2019-10-30T13:00:00+00:00 ~ 2019-10-30T13:00:00+00:00
267,True,2019-10-30 15:00:00+00:00,2019-10-30 15:00:00+00:00,9001.01/9128/9001.01/9128,9001.01/9128/9001.01/9128,2,2,2019-10-30T14:00:00+00:00 ~ 2019-10-30T15:00:00+00:00,2019-10-30T14:00:00+00:00 ~ 2019-10-30T15:00:00+00:00
