笔序号,方向,起点时间,起点类型,起点价格,终点时间,终点类型,终点价格,无包含K数,内部分型数,价差力度,涨跌幅,原始K起点,原始K终点,内部无包含K时间,内部分型
151,↑ 向上,2026-01-09 04:05:00+00:00,底分型,87.93308514440496,2026-01-09 06:10:00+00:00,顶分型,111.69866962986531,19,4,23.77,0.2703,2026-01-09 04:00:00+00:00,2026-01-09 06:20:00+00:00,2026-01-09T04:00:00+00:00 | 2026-01-09T04:05:00+00:00 | 2026-01-09T04:15:00+00:00 | 2026-01-09T04:20:00+00:00 | 2026-01-09T04:25:00+00:00 | 2026-01-09T04:30:00+00:00 | 2026-01-09T04:35:00+00:00 | 2026-01-09T04:40:00+00:00 | 2026-01-09T04:45:00+00:00 | 2026-01-09T05:00:00+00:00 | 2026-01-09T05:05:00+00:00 | 2026-01-09T05:10:00+00:00 | 2026-01-09T05:30:00+00:00 | 2026-01-09T05:40:00+00:00 | 2026-01-09T05:45:00+00:00 | 2026-01-09T05:50:00+00:00 | 2026-01-09T06:05:00+00:00 | 2026-01-09T06:10:00+00:00 | 2026-01-09T06:20:00+00:00,2026-01-09T04:05:00+00:00:D:87.9330851444 | 2026-01-09T05:10:00+00:00:G:105.902759988 | 2026-01-09T05:30:00+00:00:D:101.389352263 | 2026-01-09T06:10:00+00:00:G:111.69866963
152,↓ 向下,2026-01-09 06:10:00+00:00,顶分型,111.69866962986531,2026-01-09 08:15:00+00:00,底分型,87.6928949866896,23,6,24.01,-0.2149,2026-01-09 05:55:00+00:00,2026-01-09 08:20:00+00:00,2026-01-09T06:05:00+00:00 | 2026-01-09T06:10:00+00:00 | 2026-01-09T06:20:00+00:00 | 2026-01-09T06:25:00+00:00 | 2026-01-09T06:35:00+00:00 | 2026-01-09T06:40:00+00:00 | 2026-01-09T06:45:00+00:00 | 2026-01-09T06:50:00+00:00 | 2026-01-09T06:55:00+00:00 | 2026-01-09T07:00:00+00:00 | 2026-01-09T07:05:00+00:00 | 2026-01-09T07:15:00+00:00 | 2026-01-09T07:25:00+00:00 | 2026-01-09T07:30:00+00:00 | 2026-01-09T07:35:00+00:00 | 2026-01-09T07:40:00+00:00 | 2026-01-09T07:50:00+00:00 | 2026-01-09T07:55:00+00:00 | 2026-01-09T08:00:00+00:00 | 2026-01-09T08:05:00+00:00 | 2026-01-09T08:10:00+00:00 | 2026-01-09T08:15:00+00:00 | 2026-01-09T08:20:00+00:00,2026-01-09T06:10:00+00:00:G:111.69866963 | 2026-01-09T07:05:00+00:00:D:94.0141153229 | 2026-01-09T07:25:00+00:00:G:97.835870729 | 2026-01-09T07:30:00+00:00:D:94.309914858 | 2026-01-09T07:40:00+00:00:G:97.4432724187 | 2026-01-09T08:15:00+00:00:D:87.6928949867
153,↑ 向上,2026-01-09 08:15:00+00:00,底分型,87.6928949866896,2026-01-09 09:25:00+00:00,顶分型,106.67042094824328,12,2,18.98,0.2164,2026-01-09 08:10:00+00:00,2026-01-09 09:35:00+00:00,2026-01-09T08:10:00+00:00 | 2026-01-09T08:15:00+00:00 | 2026-01-09T08:35:00+00:00 | 2026-01-09T08:40:00+00:00 | 2026-01-09T08:45:00+00:00 | 2026-01-09T08:50:00+00:00 | 2026-01-09T08:55:00+00:00 | 2026-01-09T09:00:00+00:00 | 2026-01-09T09:05:00+00:00 | 2026-01-09T09:15:00+00:00 | 2026-01-09T09:25:00+00:00 | 2026-01-09T09:35:00+00:00,2026-01-09T08:15:00+00:00:D:87.6928949867 | 2026-01-09T09:25:00+00:00:G:106.670420948
154,↓ 向下,2026-01-09 09:25:00+00:00,顶分型,106.67042094824328,2026-01-09 09:45:00+00:00,底分型,102.30689108868309,6,2,4.36,-0.0409,2026-01-09 09:10:00+00:00,2026-01-09 09:50:00+00:00,2026-01-09T09:15:00+00:00 | 2026-01-09T09:25:00+00:00 | 2026-01-09T09:35:00+00:00 | 2026-01-09T09:40:00+00:00 | 2026-01-09T09:45:00+00:00 | 2026-01-09T09:50:00+00:00,2026-01-09T09:25:00+00:00:G:106.670420948 | 2026-01-09T09:45:00+00:00:D:102.306891089
155,↑ 向上,2026-01-09 09:45:00+00:00,底分型,102.30689108868309,2026-01-09 10:25:00+00:00,顶分型,112.1945857049187,11,2,9.89,0.0966,2026-01-09 09:40:00+00:00,2026-01-09 10:30:00+00:00,2026-01-09T09:40:00+00:00 | 2026-01-09T09:45:00+00:00 | 2026-01-09T09:50:00+00:00 | 2026-01-09T09:55:00+00:00 | 2026-01-09T10:00:00+00:00 | 2026-01-09T10:05:00+00:00 | 2026-01-09T10:10:00+00:00 | 2026-01-09T10:15:00+00:00 | 2026-01-09T10:20:00+00:00 | 2026-01-09T10:25:00+00:00 | 2026-01-09T10:30:00+00:00,2026-01-09T09:45:00+00:00:D:102.306891089 | 2026-01-09T10:25:00+00:00:G:112.194585705
156,↓ 向下,2026-01-09 10:25:00+00:00,顶分型,112.1945857049187,2026-01-09 12:35:00+00:00,底分型,88.02020686269532,23,4,24.17,-0.2155,2026-01-09 10:20:00+00:00,2026-01-09 12:40:00+00:00,2026-01-09T10:20:00+00:00 | 2026-01-09T10:25:00+00:00 | 2026-01-09T10:30:00+00:00 | 2026-01-09T10:35:00+00:00 | 2026-01-09T10:40:00+00:00 | 2026-01-09T10:45:00+00:00 | 2026-01-09T10:50:00+00:00 | 2026-01-09T10:55:00+00:00 | 2026-01-09T11:00:00+00:00 | 2026-01-09T11:05:00+00:00 | 2026-01-09T11:10:00+00:00 | 2026-01-09T11:15:00+00:00 | 2026-01-09T11:25:00+00:00 | 2026-01-09T11:40:00+00:00 | 2026-01-09T11:50:00+00:00 | 2026-01-09T11:55:00+00:00 | 2026-01-09T12:00:00+00:00 | 2026-01-09T12:15:00+00:00 | 2026-01-09T12:20:00+00:00 | 2026-01-09T12:25:00+00:00 | 2026-01-09T12:30:00+00:00 | 2026-01-09T12:35:00+00:00 | 2026-01-09T12:40:00+00:00,2026-01-09T10:25:00+00:00:G:112.194585705 | 2026-01-09T11:25:00+00:00:D:93.4553253064 | 2026-01-09T11:50:00+00:00:G:97.792698871 | 2026-01-09T12:35:00+00:00:D:88.0202068627
157,↑ 向上,2026-01-09 12:35:00+00:00,底分型,88.02020686269532,2026-01-09 13:40:00+00:00,顶分型,107.37441299528375,16,4,19.35,0.2199,2026-01-09 12:30:00+00:00,2026-01-09 13:50:00+00:00,2026-01-09T12:30:00+00:00 | 2026-01-09T12:35:00+00:00 | 2026-01-09T12:40:00+00:00 | 2026-01-09T12:45:00+00:00 | 2026-01-09T12:50:00+00:00 | 2026-01-09T12:55:00+00:00 | 2026-01-09T13:00:00+00:00 | 2026-01-09T13:05:00+00:00 | 2026-01-09T13:10:00+00:00 | 2026-01-09T13:15:00+00:00 | 2026-01-09T13:20:00+00:00 | 2026-01-09T13:25:00+00:00 | 2026-01-09T13:30:00+00:00 | 2026-01-09T13:35:00+00:00 | 2026-01-09T13:40:00+00:00 | 2026-01-09T13:50:00+00:00,2026-01-09T12:35:00+00:00:D:88.0202068627 | 2026-01-09T13:25:00+00:00:G:106.18514242 | 2026-01-09T13:30:00+00:00:D:103.435416593 | 2026-01-09T13:40:00+00:00:G:107.374412995
158,↓ 向下,2026-01-09 13:40:00+00:00,顶分型,107.37441299528375,2026-01-09 14:00:00+00:00,底分型,101.81288876737983,6,2,5.56,-0.0518,2026-01-09 13:35:00+00:00,2026-01-09 14:05:00+00:00,2026-01-09T13:35:00+00:00 | 2026-01-09T13:40:00+00:00 | 2026-01-09T13:50:00+00:00 | 2026-01-09T13:55:00+00:00 | 2026-01-09T14:00:00+00:00 | 2026-01-09T14:05:00+00:00,2026-01-09T13:40:00+00:00:G:107.374412995 | 2026-01-09T14:00:00+00:00:D:101.812888767
159,↑ 向上,2026-01-09 14:00:00+00:00,底分型,101.81288876737983,2026-01-09 14:45:00+00:00,顶分型,111.39078133317334,7,2,9.58,0.0941,2026-01-09 13:55:00+00:00,2026-01-09 14:50:00+00:00,2026-01-09T13:55:00+00:00 | 2026-01-09T14:00:00+00:00 | 2026-01-09T14:05:00+00:00 | 2026-01-09T14:15:00+00:00 | 2026-01-09T14:20:00+00:00 | 2026-01-09T14:45:00+00:00 | 2026-01-09T14:50:00+00:00,2026-01-09T14:00:00+00:00:D:101.812888767 | 2026-01-09T14:45:00+00:00:G:111.390781333
160,↓ 向下,2026-01-09 14:45:00+00:00,顶分型,111.39078133317334,2026-01-09 15:35:00+00:00,底分型,92.37874243529345,13,2,19.01,-0.1707,2026-01-09 14:20:00+00:00,2026-01-09 15:40:00+00:00,2026-01-09T14:20:00+00:00 | 2026-01-09T14:45:00+00:00 | 2026-01-09T14:50:00+00:00 | 2026-01-09T14:55:00+00:00 | 2026-01-09T15:00:00+00:00 | 2026-01-09T15:05:00+00:00 | 2026-01-09T15:10:00+00:00 | 2026-01-09T15:15:00+00:00 | 2026-01-09T15:20:00+00:00 | 2026-01-09T15:25:00+00:00 | 2026-01-09T15:30:00+00:00 | 2026-01-09T15:35:00+00:00 | 2026-01-09T15:40:00+00:00,2026-01-09T14:45:00+00:00:G:111.390781333 | 2026-01-09T15:35:00+00:00:D:92.3787424353
161,↑ 向上,2026-01-09 15:35:00+00:00,底分型,92.37874243529345,2026-01-09 16:00:00+00:00,顶分型,97.41597320717685,6,4,5.04,0.0545,2026-01-09 15:30:00+00:00,2026-01-09 16:15:00+00:00,2026-01-09T15:30:00+00:00 | 2026-01-09T15:35:00+00:00 | 2026-01-09T15:40:00+00:00 | 2026-01-09T15:50:00+00:00 | 2026-01-09T16:00:00+00:00 | 2026-01-09T16:15:00+00:00,2026-01-09T15:35:00+00:00:D:92.3787424353 | 2026-01-09T15:40:00+00:00:G:96.2551356256 | 2026-01-09T15:50:00+00:00:D:93.2794953537 | 2026-01-09T16:00:00+00:00:G:97.4159732072
162,↓ 向下,2026-01-09 16:00:00+00:00,顶分型,97.41597320717685,2026-01-09 16:50:00+00:00,底分型,88.63759524006669,10,2,8.78,-0.0901,2026-01-09 15:50:00+00:00,2026-01-09 16:55:00+00:00,2026-01-09T15:50:00+00:00 | 2026-01-09T16:00:00+00:00 | 2026-01-09T16:15:00+00:00 | 2026-01-09T16:25:00+00:00 | 2026-01-09T16:30:00+00:00 | 2026-01-09T16:35:00+00:00 | 2026-01-09T16:40:00+00:00 | 2026-01-09T16:45:00+00:00 | 2026-01-09T16:50:00+00:00 | 2026-01-09T16:55:00+00:00,2026-01-09T16:00:00+00:00:G:97.4159732072 | 2026-01-09T16:50:00+00:00:D:88.6375952401
163,↑ 向上,2026-01-09 16:50:00+00:00,底分型,88.63759524006669,2026-01-09 17:45:00+00:00,顶分型,108.3542178617094,12,2,19.72,0.2224,2026-01-09 16:45:00+00:00,2026-01-09 17:50:00+00:00,2026-01-09T16:45:00+00:00 | 2026-01-09T16:50:00+00:00 | 2026-01-09T16:55:00+00:00 | 2026-01-09T17:10:00+00:00 | 2026-01-09T17:15:00+00:00 | 2026-01-09T17:20:00+00:00 | 2026-01-09T17:25:00+00:00 | 2026-01-09T17:30:00+00:00 | 2026-01-09T17:35:00+00:00 | 2026-01-09T17:40:00+00:00 | 2026-01-09T17:45:00+00:00 | 2026-01-09T17:50:00+00:00,2026-01-09T16:50:00+00:00:D:88.6375952401 | 2026-01-09T17:45:00+00:00:G:108.354217862
164,↓ 向下,2026-01-09 17:45:00+00:00,顶分型,108.3542178617094,2026-01-09 18:20:00+00:00,底分型,103.18667085461459,10,6,5.17,-0.0477,2026-01-09 17:40:00+00:00,2026-01-09 18:25:00+00:00,2026-01-09T17:40:00+00:00 | 2026-01-09T17:45:00+00:00 | 2026-01-09T17:50:00+00:00 | 2026-01-09T17:55:00+00:00 | 2026-01-09T18:00:00+00:00 | 2026-01-09T18:05:00+00:00 | 2026-01-09T18:10:00+00:00 | 2026-01-09T18:15:00+00:00 | 2026-01-09T18:20:00+00:00 | 2026-01-09T18:25:00+00:00,2026-01-09T17:45:00+00:00:G:108.354217862 | 2026-01-09T17:55:00+00:00:D:103.552937701 | 2026-01-09T18:00:00+00:00:G:106.579573954 | 2026-01-09T18:05:00+00:00:D:103.244756553 | 2026-01-09T18:15:00+00:00:G:106.897901425 | 2026-01-09T18:20:00+00:00:D:103.186670855
165,↑ 向上,2026-01-09 18:20:00+00:00,底分型,103.18667085461459,2026-01-09 18:50:00+00:00,顶分型,110.93013363789335,8,2,7.74,0.075,2026-01-09 18:15:00+00:00,2026-01-09 18:55:00+00:00,2026-01-09T18:15:00+00:00 | 2026-01-09T18:20:00+00:00 | 2026-01-09T18:30:00+00:00 | 2026-01-09T18:35:00+00:00 | 2026-01-09T18:40:00+00:00 | 2026-01-09T18:45:00+00:00 | 2026-01-09T18:50:00+00:00 | 2026-01-09T18:55:00+00:00,2026-01-09T18:20:00+00:00:D:103.186670855 | 2026-01-09T18:50:00+00:00:G:110.930133638
166,↓ 向下,2026-01-09 18:50:00+00:00,顶分型,110.93013363789335,2026-01-09 21:05:00+00:00,底分型,89.76442852054507,26,6,21.17,-0.1908,2026-01-09 18:45:00+00:00,2026-01-09 21:10:00+00:00,2026-01-09T18:45:00+00:00 | 2026-01-09T18:50:00+00:00 | 2026-01-09T18:55:00+00:00 | 2026-01-09T19:05:00+00:00 | 2026-01-09T19:10:00+00:00 | 2026-01-09T19:15:00+00:00 | 2026-01-09T19:20:00+00:00 | 2026-01-09T19:25:00+00:00 | 2026-01-09T19:30:00+00:00 | 2026-01-09T19:35:00+00:00 | 2026-01-09T19:40:00+00:00 | 2026-01-09T19:45:00+00:00 | 2026-01-09T19:50:00+00:00 | 2026-01-09T19:55:00+00:00 | 2026-01-09T20:00:00+00:00 | 2026-01-09T20:05:00+00:00 | 2026-01-09T20:15:00+00:00 | 2026-01-09T20:25:00+00:00 | 2026-01-09T20:35:00+00:00 | 2026-01-09T20:40:00+00:00 | 2026-01-09T20:45:00+00:00 | 2026-01-09T20:50:00+00:00 | 2026-01-09T20:55:00+00:00 | 2026-01-09T21:00:00+00:00 | 2026-01-09T21:05:00+00:00 | 2026-01-09T21:10:00+00:00,2026-01-09T18:50:00+00:00:G:110.930133638 | 2026-01-09T19:55:00+00:00:D:92.2307118766 | 2026-01-09T20:05:00+00:00:G:96.6866073404 | 2026-01-09T20:15:00+00:00:D:93.2708869544 | 2026-01-09T20:35:00+00:00:G:96.2246193039 | 2026-01-09T21:05:00+00:00:D:89.7644285205
167,↑ 向上,2026-01-09 21:05:00+00:00,底分型,89.76442852054507,2026-01-09 23:00:00+00:00,顶分型,110.16614988247126,16,4,20.4,0.2273,2026-01-09 21:00:00+00:00,2026-01-09 23:10:00+00:00,2026-01-09T21:00:00+00:00 | 2026-01-09T21:05:00+00:00 | 2026-01-09T21:20:00+00:00 | 2026-01-09T21:25:00+00:00 | 2026-01-09T21:30:00+00:00 | 2026-01-09T21:35:00+00:00 | 2026-01-09T21:40:00+00:00 | 2026-01-09T21:45:00+00:00 | 2026-01-09T21:50:00+00:00 | 2026-01-09T21:55:00+00:00 | 2026-01-09T22:20:00+00:00 | 2026-01-09T22:40:00+00:00 | 2026-01-09T22:50:00+00:00 | 2026-01-09T22:55:00+00:00 | 2026-01-09T23:00:00+00:00 | 2026-01-09T23:10:00+00:00,2026-01-09T21:05:00+00:00:D:89.7644285205 | 2026-01-09T22:20:00+00:00:G:107.910835494 | 2026-01-09T22:40:00+00:00:D:103.669568006 | 2026-01-09T23:00:00+00:00:G:110.166149882
168,↓ 向下,2026-01-09 23:00:00+00:00,顶分型,110.16614988247126,2026-01-10 00:15:00+00:00,底分型,91.59734379338086,15,2,18.57,-0.1686,2026-01-09 22:55:00+00:00,2026-01-10 00:20:00+00:00,2026-01-09T22:55:00+00:00 | 2026-01-09T23:00:00+00:00 | 2026-01-09T23:10:00+00:00 | 2026-01-09T23:20:00+00:00 | 2026-01-09T23:25:00+00:00 | 2026-01-09T23:30:00+00:00 | 2026-01-09T23:35:00+00:00 | 2026-01-09T23:40:00+00:00 | 2026-01-09T23:45:00+00:00 | 2026-01-09T23:50:00+00:00 | 2026-01-09T23:55:00+00:00 | 2026-01-10T00:00:00+00:00 | 2026-01-10T00:05:00+00:00 | 2026-01-10T00:15:00+00:00 | 2026-01-10T00:20:00+00:00,2026-01-09T23:00:00+00:00:G:110.166149882 | 2026-01-10T00:15:00+00:00:D:91.5973437934
169,↑ 向上,2026-01-10 00:15:00+00:00,底分型,91.59734379338086,2026-01-10 00:35:00+00:00,顶分型,96.77391132869394,6,4,5.18,0.0565,2026-01-10 00:05:00+00:00,2026-01-10 00:40:00+00:00,2026-01-10T00:05:00+00:00 | 2026-01-10T00:15:00+00:00 | 2026-01-10T00:20:00+00:00 | 2026-01-10T00:30:00+00:00 | 2026-01-10T00:35:00+00:00 | 2026-01-10T00:40:00+00:00,2026-01-10T00:15:00+00:00:D:91.5973437934 | 2026-01-10T00:20:00+00:00:G:96.0119986683 | 2026-01-10T00:30:00+00:00:D:93.0557193841 | 2026-01-10T00:35:00+00:00:G:96.7739113287
170,↓ 向下,2026-01-10 00:35:00+00:00,顶分型,96.77391132869394,2026-01-10 01:10:00+00:00,底分型,89.81629781092089,8,2,6.96,-0.0719,2026-01-10 00:25:00+00:00,2026-01-10 01:15:00+00:00,2026-01-10T00:30:00+00:00 | 2026-01-10T00:35:00+00:00 | 2026-01-10T00:45:00+00:00 | 2026-01-10T00:50:00+00:00 | 2026-01-10T01:00:00+00:00 | 2026-01-10T01:05:00+00:00 | 2026-01-10T01:10:00+00:00 | 2026-01-10T01:15:00+00:00,2026-01-10T00:35:00+00:00:G:96.7739113287 | 2026-01-10T01:10:00+00:00:D:89.8162978109
171,↑ 向上,2026-01-10 01:10:00+00:00,底分型,89.81629781092089,2026-01-10 02:10:00+00:00,顶分型,109.1557907556781,13,2,19.34,0.2153,2026-01-10 01:05:00+00:00,2026-01-10 02:20:00+00:00,2026-01-10T01:05:00+00:00 | 2026-01-10T01:10:00+00:00 | 2026-01-10T01:15:00+00:00 | 2026-01-10T01:30:00+00:00 | 2026-01-10T01:35:00+00:00 | 2026-01-10T01:40:00+00:00 | 2026-01-10T01:45:00+00:00 | 2026-01-10T01:50:00+00:00 | 2026-01-10T01:55:00+00:00 | 2026-01-10T02:00:00+00:00 | 2026-01-10T02:05:00+00:00 | 2026-01-10T02:10:00+00:00 | 2026-01-10T02:20:00+00:00,2026-01-10T01:10:00+00:00:D:89.8162978109 | 2026-01-10T02:10:00+00:00:G:109.155790756
172,↓ 向下,2026-01-10 02:10:00+00:00,顶分型,109.1557907556781,2026-01-10 02:45:00+00:00,底分型,103.05597886501823,9,4,6.1,-0.0559,2026-01-10 02:05:00+00:00,2026-01-10 02:50:00+00:00,2026-01-10T02:05:00+00:00 | 2026-01-10T02:10:00+00:00 | 2026-01-10T02:20:00+00:00 | 2026-01-10T02:25:00+00:00 | 2026-01-10T02:30:00+00:00 | 2026-01-10T02:35:00+00:00 | 2026-01-10T02:40:00+00:00 | 2026-01-10T02:45:00+00:00 | 2026-01-10T02:50:00+00:00,2026-01-10T02:10:00+00:00:G:109.155790756 | 2026-01-10T02:25:00+00:00:D:104.621285956 | 2026-01-10T02:30:00+00:00:G:107.727543545 | 2026-01-10T02:45:00+00:00:D:103.055978865
173,↑ 向上,2026-01-10 02:45:00+00:00,底分型,103.05597886501823,2026-01-10 03:20:00+00:00,顶分型,110.64496669308403,7,2,7.59,0.0736,2026-01-10 02:40:00+00:00,2026-01-10 03:25:00+00:00,2026-01-10T02:40:00+00:00 | 2026-01-10T02:45:00+00:00 | 2026-01-10T03:00:00+00:00 | 2026-01-10T03:10:00+00:00 | 2026-01-10T03:15:00+00:00 | 2026-01-10T03:20:00+00:00 | 2026-01-10T03:25:00+00:00,2026-01-10T02:45:00+00:00:D:103.055978865 | 2026-01-10T03:20:00+00:00:G:110.644966693
174,↓ 向下,2026-01-10 03:20:00+00:00,顶分型,110.64496669308403,2026-01-10 04:20:00+00:00,底分型,90.93762255692826,14,2,19.71,-0.1781,2026-01-10 03:15:00+00:00,2026-01-10 04:25:00+00:00,2026-01-10T03:15:00+00:00 | 2026-01-10T03:20:00+00:00 | 2026-01-10T03:25:00+00:00 | 2026-01-10T03:35:00+00:00 | 2026-01-10T03:40:00+00:00 | 2026-01-10T03:45:00+00:00 | 2026-01-10T03:50:00+00:00 | 2026-01-10T03:55:00+00:00 | 2026-01-10T04:00:00+00:00 | 2026-01-10T04:05:00+00:00 | 2026-01-10T04:10:00+00:00 | 2026-01-10T04:15:00+00:00 | 2026-01-10T04:20:00+00:00 | 2026-01-10T04:25:00+00:00,2026-01-10T03:20:00+00:00:G:110.644966693 | 2026-01-10T04:20:00+00:00:D:90.9376225569
175,↑ 向上,2026-01-10 04:20:00+00:00,底分型,90.93762255692826,2026-01-10 04:50:00+00:00,顶分型,96.6467872534518,8,4,5.71,0.0628,2026-01-10 04:15:00+00:00,2026-01-10 05:00:00+00:00,2026-01-10T04:15:00+00:00 | 2026-01-10T04:20:00+00:00 | 2026-01-10T04:25:00+00:00 | 2026-01-10T04:30:00+00:00 | 2026-01-10T04:40:00+00:00 | 2026-01-10T04:45:00+00:00 | 2026-01-10T04:50:00+00:00 | 2026-01-10T05:00:00+00:00,2026-01-10T04:20:00+00:00:D:90.9376225569 | 2026-01-10T04:30:00+00:00:G:95.7369329371 | 2026-01-10T04:40:00+00:00:D:92.1813397724 | 2026-01-10T04:50:00+00:00:G:96.6467872535
176,↓ 向下,2026-01-10 04:50:00+00:00,顶分型,96.6467872534518,2026-01-10 05:35:00+00:00,底分型,90.34511551922135,8,2,6.3,-0.0652,2026-01-10 04:45:00+00:00,2026-01-10 05:45:00+00:00,2026-01-10T04:45:00+00:00 | 2026-01-10T04:50:00+00:00 | 2026-01-10T05:05:00+00:00 | 2026-01-10T05:10:00+00:00 | 2026-01-10T05:15:00+00:00 | 2026-01-10T05:20:00+00:00 | 2026-01-10T05:35:00+00:00 | 2026-01-10T05:45:00+00:00,2026-01-10T04:50:00+00:00:G:96.6467872535 | 2026-01-10T05:35:00+00:00:D:90.3451155192
177,↑ 向上,2026-01-10 05:35:00+00:00,底分型,90.34511551922135,2026-01-10 07:40:00+00:00,顶分型,109.67501405616096,19,6,19.33,0.214,2026-01-10 05:20:00+00:00,2026-01-10 07:45:00+00:00,2026-01-10T05:20:00+00:00 | 2026-01-10T05:35:00+00:00 | 2026-01-10T05:45:00+00:00 | 2026-01-10T05:50:00+00:00 | 2026-01-10T05:55:00+00:00 | 2026-01-10T06:00:00+00:00 | 2026-01-10T06:05:00+00:00 | 2026-01-10T06:10:00+00:00 | 2026-01-10T06:15:00+00:00 | 2026-01-10T06:20:00+00:00 | 2026-01-10T06:25:00+00:00 | 2026-01-10T06:45:00+00:00 | 2026-01-10T07:00:00+00:00 | 2026-01-10T07:05:00+00:00 | 2026-01-10T07:10:00+00:00 | 2026-01-10T07:20:00+00:00 | 2026-01-10T07:25:00+00:00 | 2026-01-10T07:40:00+00:00 | 2026-01-10T07:45:00+00:00,2026-01-10T05:35:00+00:00:D:90.3451155192 | 2026-01-10T06:25:00+00:00:G:109.367253543 | 2026-01-10T07:00:00+00:00:D:102.858187951 | 2026-01-10T07:10:00+00:00:G:106.637338508 | 2026-01-10T07:20:00+00:00:D:103.947375761 | 2026-01-10T07:40:00+00:00:G:109.675014056
178,↓ 向下,2026-01-10 07:40:00+00:00,顶分型,109.67501405616096,2026-01-10 08:35:00+00:00,底分型,90.58204727412372,12,2,19.09,-0.1741,2026-01-10 07:25:00+00:00,2026-01-10 08:40:00+00:00,2026-01-10T07:25:00+00:00 | 2026-01-10T07:40:00+00:00 | 2026-01-10T07:45:00+00:00 | 2026-01-10T07:55:00+00:00 | 2026-01-10T08:00:00+00:00 | 2026-01-10T08:05:00+00:00 | 2026-01-10T08:15:00+00:00 | 2026-01-10T08:20:00+00:00 | 2026-01-10T08:25:00+00:00 | 2026-01-10T08:30:00+00:00 | 2026-01-10T08:35:00+00:00 | 2026-01-10T08:40:00+00:00,2026-01-10T07:40:00+00:00:G:109.675014056 | 2026-01-10T08:35:00+00:00:D:90.5820472741
179,↑ 向上,2026-01-10 08:35:00+00:00,底分型,90.58204727412372,2026-01-10 10:45:00+00:00,顶分型,109.13320911771959,21,6,18.55,0.2048,2026-01-10 08:30:00+00:00,2026-01-10 10:55:00+00:00,2026-01-10T08:30:00+00:00 | 2026-01-10T08:35:00+00:00 | 2026-01-10T08:55:00+00:00 | 2026-01-10T09:00:00+00:00 | 2026-01-10T09:15:00+00:00 | 2026-01-10T09:20:00+00:00 | 2026-01-10T09:25:00+00:00 | 2026-01-10T09:30:00+00:00 | 2026-01-10T09:35:00+00:00 | 2026-01-10T09:40:00+00:00 | 2026-01-10T09:50:00+00:00 | 2026-01-10T09:55:00+00:00 | 2026-01-10T10:00:00+00:00 | 2026-01-10T10:05:00+00:00 | 2026-01-10T10:10:00+00:00 | 2026-01-10T10:15:00+00:00 | 2026-01-10T10:20:00+00:00 | 2026-01-10T10:25:00+00:00 | 2026-01-10T10:30:00+00:00 | 2026-01-10T10:45:00+00:00 | 2026-01-10T10:55:00+00:00,2026-01-10T08:35:00+00:00:D:90.5820472741 | 2026-01-10T09:00:00+00:00:G:96.5746092749 | 2026-01-10T09:15:00+00:00:D:92.7378315353 | 2026-01-10T09:20:00+00:00:G:96.3080790875 | 2026-01-10T09:40:00+00:00:D:91.20358757 | 2026-01-10T10:45:00+00:00:G:109.133209118
180,↓ 向下,2026-01-10 10:45:00+00:00,顶分型,109.13320911771959,2026-01-10 11:20:00+00:00,底分型,103.11683542869008,7,2,6.02,-0.0551,2026-01-10 10:30:00+00:00,2026-01-10 11:25:00+00:00,2026-01-10T10:30:00+00:00 | 2026-01-10T10:45:00+00:00 | 2026-01-10T10:55:00+00:00 | 2026-01-10T11:00:00+00:00 | 2026-01-10T11:15:00+00:00 | 2026-01-10T11:20:00+00:00 | 2026-01-10T11:25:00+00:00,2026-01-10T10:45:00+00:00:G:109.133209118 | 2026-01-10T11:20:00+00:00:D:103.116835429
181,↑ 向上,2026-01-10 11:20:00+00:00,底分型,103.11683542869008,2026-01-10 11:40:00+00:00,顶分型,108.91056197896836,7,2,5.79,0.0562,2026-01-10 11:10:00+00:00,2026-01-10 11:45:00+00:00,2026-01-10T11:15:00+00:00 | 2026-01-10T11:20:00+00:00 | 2026-01-10T11:25:00+00:00 | 2026-01-10T11:30:00+00:00 | 2026-01-10T11:35:00+00:00 | 2026-01-10T11:40:00+00:00 | 2026-01-10T11:45:00+00:00,2026-01-10T11:20:00+00:00:D:103.116835429 | 2026-01-10T11:40:00+00:00:G:108.910561979
182,↓ 向下,2026-01-10 11:40:00+00:00,顶分型,108.91056197896836,2026-01-10 13:00:00+00:00,底分型,89.96549396857695,14,4,18.95,-0.174,2026-01-10 11:35:00+00:00,2026-01-10 13:05:00+00:00,2026-01-10T11:35:00+00:00 | 2026-01-10T11:40:00+00:00 | 2026-01-10T11:45:00+00:00 | 2026-01-10T11:50:00+00:00 | 2026-01-10T11:55:00+00:00 | 2026-01-10T12:05:00+00:00 | 2026-01-10T12:10:00+00:00 | 2026-01-10T12:15:00+00:00 | 2026-01-10T12:20:00+00:00 | 2026-01-10T12:25:00+00:00 | 2026-01-10T12:30:00+00:00 | 2026-01-10T12:40:00+00:00 | 2026-01-10T13:00:00+00:00 | 2026-01-10T13:05:00+00:00,2026-01-10T11:40:00+00:00:G:108.910561979 | 2026-01-10T11:50:00+00:00:D:105.303216839 | 2026-01-10T11:55:00+00:00:G:108.546225129 | 2026-01-10T13:00:00+00:00:D:89.9654939686
