序列起点笔位置,待识别线段方向,特征元素序号,元素合并方向,特征笔方向,包含笔位置,high,low,起点时间,终点时间
213,向上,0,向上,向下,214,99.2031504109408,94.13414049475931,2026-01-11 19:15:00+00:00,2026-01-11 19:35:00+00:00
213,向上,1,向上,向下,216 | 218 | 220,111.97412925611842,95.38120243654637,2026-01-11 20:25:00+00:00,2026-01-12 02:50:00+00:00
213,向上,3,向上,向下,216 | 218,111.54188509635811,95.38120243654637,2026-01-11 20:25:00+00:00,2026-01-11 23:50:00+00:00
213,向上,4,向上,向下,220,111.97412925611842,87.50767090244233,2026-01-12 00:55:00+00:00,2026-01-12 02:50:00+00:00
213,向上,6,向上,向下,218,99.58155896593769,95.38120243654637,2026-01-11 23:25:00+00:00,2026-01-11 23:50:00+00:00
213,向上,7,向上,向下,220,111.97412925611842,87.50767090244233,2026-01-12 00:55:00+00:00,2026-01-12 02:50:00+00:00
213,向上,9,向上,向下,220,111.97412925611842,87.50767090244233,2026-01-12 00:55:00+00:00,2026-01-12 02:50:00+00:00
221,向上,0,向上,向下,222,112.28135681792287,87.61320100275343,2026-01-12 04:55:00+00:00,2026-01-12 07:15:00+00:00
221,向上,1,向上,向下,224,112.708175080453,87.81802446558825,2026-01-12 09:15:00+00:00,2026-01-12 11:25:00+00:00
221,向上,2,向下,向下,226,112.62543088342137,87.73458370430642,2026-01-12 13:20:00+00:00,2026-01-12 15:35:00+00:00
221,向上,3,向上,向下,224,112.708175080453,87.81802446558825,2026-01-12 09:15:00+00:00,2026-01-12 11:25:00+00:00
221,向上,4,向上,向下,226,112.62543088342137,87.73458370430642,2026-01-12 13:20:00+00:00,2026-01-12 15:35:00+00:00
221,向上,5,向上,向下,226,112.62543088342137,87.73458370430642,2026-01-12 13:20:00+00:00,2026-01-12 15:35:00+00:00
224,向下,0,向下,向上,225,112.62543088342137,87.81802446558825,2026-01-12 11:25:00+00:00,2026-01-12 13:20:00+00:00
224,向下,1,向下,向上,227,113.24944131742232,87.73458370430642,2026-01-12 15:35:00+00:00,2026-01-12 17:45:00+00:00
224,向下,2,向下,向上,229,113.05854875747569,87.00406698675793,2026-01-12 19:45:00+00:00,2026-01-12 22:00:00+00:00
224,向下,3,向下,向上,227,113.24944131742232,87.73458370430642,2026-01-12 15:35:00+00:00,2026-01-12 17:45:00+00:00
224,向下,4,向下,向上,229 | 231 | 233,103.06354571916877,87.00406698675793,2026-01-12 19:45:00+00:00,2026-01-13 05:20:00+00:00
224,向下,5,向上,向上,235,113.01246789158424,100.10828756079381,2026-01-13 05:40:00+00:00,2026-01-13 06:25:00+00:00
224,向下,6,向下,向上,229 | 231 | 233,103.06354571916877,87.00406698675793,2026-01-12 19:45:00+00:00,2026-01-13 05:20:00+00:00
224,向下,7,向下,向上,235,113.01246789158424,100.10828756079381,2026-01-13 05:40:00+00:00,2026-01-13 06:25:00+00:00
224,向下,8,向下,向上,231 | 233,103.06354571916877,87.08406757742321,2026-01-12 23:55:00+00:00,2026-01-13 05:20:00+00:00
224,向下,9,向下,向上,235,113.01246789158424,100.10828756079381,2026-01-13 05:40:00+00:00,2026-01-13 06:25:00+00:00
224,向下,10,向下,向上,233,103.06354571916877,88.2281932582825,2026-01-13 04:25:00+00:00,2026-01-13 05:20:00+00:00
224,向下,11,向下,向上,235,113.01246789158424,100.10828756079381,2026-01-13 05:40:00+00:00,2026-01-13 06:25:00+00:00
224,向下,12,向下,向上,235,113.01246789158424,100.10828756079381,2026-01-13 05:40:00+00:00,2026-01-13 06:25:00+00:00
229,向上,0,向上,向下,230 | 232 | 234,113.05854875747569,100.10828756079381,2026-01-12 22:00:00+00:00,2026-01-13 05:40:00+00:00
229,向上,1,向上,向下,236,113.01246789158424,87.3922091936563,2026-01-13 06:25:00+00:00,2026-01-13 08:35:00+00:00
229,向上,2,向上,向下,232 | 234,112.99136977459291,100.10828756079381,2026-01-13 02:10:00+00:00,2026-01-13 05:40:00+00:00
229,向上,3,向上,向下,236 | 238 | 240,113.01246789158424,100.4847007050182,2026-01-13 06:25:00+00:00,2026-01-13 14:05:00+00:00
229,向上,4,向下,向下,242,112.44827399322932,87.79254955991993,2026-01-13 14:50:00+00:00,2026-01-13 16:50:00+00:00
229,向上,5,向上,向下,234,103.06354571916877,100.10828756079381,2026-01-13 05:20:00+00:00,2026-01-13 05:40:00+00:00
229,向上,6,向上,向下,236 | 238 | 240,113.01246789158424,100.4847007050182,2026-01-13 06:25:00+00:00,2026-01-13 14:05:00+00:00
229,向上,7,向下,向下,242,112.44827399322932,87.79254955991993,2026-01-13 14:50:00+00:00,2026-01-13 16:50:00+00:00
229,向上,8,向上,向下,236 | 238 | 240,113.01246789158424,100.4847007050182,2026-01-13 06:25:00+00:00,2026-01-13 14:05:00+00:00
229,向上,9,向上,向下,242,112.44827399322932,87.79254955991993,2026-01-13 14:50:00+00:00,2026-01-13 16:50:00+00:00
229,向上,10,向上,向下,238 | 240,112.12411361757023,100.4847007050182,2026-01-13 10:30:00+00:00,2026-01-13 14:05:00+00:00
229,向上,11,向上,向下,242,112.44827399322932,87.79254955991993,2026-01-13 14:50:00+00:00,2026-01-13 16:50:00+00:00
229,向上,13,向上,向下,240,104.89511148309983,100.4847007050182,2026-01-13 13:40:00+00:00,2026-01-13 14:05:00+00:00
229,向上,14,向上,向下,242,112.44827399322932,87.79254955991993,2026-01-13 14:50:00+00:00,2026-01-13 16:50:00+00:00
229,向上,16,向上,向下,242,112.44827399322932,87.79254955991993,2026-01-13 14:50:00+00:00,2026-01-13 16:50:00+00:00
236,向下,0,向下,向上,237 | 239,104.89511148309983,87.3922091936563,2026-01-13 08:35:00+00:00,2026-01-13 13:40:00+00:00
236,向下,1,向下,向上,241,112.44827399322932,100.4847007050182,2026-01-13 14:05:00+00:00,2026-01-13 14:50:00+00:00
236,向下,2,向下,向上,239,104.89511148309983,88.23853760387625,2026-01-13 12:45:00+00:00,2026-01-13 13:40:00+00:00
236,向下,3,向下,向上,241,112.44827399322932,100.4847007050182,2026-01-13 14:05:00+00:00,2026-01-13 14:50:00+00:00
236,向下,4,向下,向上,241,112.44827399322932,100.4847007050182,2026-01-13 14:05:00+00:00,2026-01-13 14:50:00+00:00
236,向下,5,向下,向上,243,104.86391233515093,87.79254955991993,2026-01-13 16:50:00+00:00,2026-01-13 17:50:00+00:00
236,向下,6,向上,向上,245,112.65145456666403,100.70920128979938,2026-01-13 18:20:00+00:00,2026-01-13 19:00:00+00:00
236,向下,7,向下,向上,243,104.86391233515093,87.79254955991993,2026-01-13 16:50:00+00:00,2026-01-13 17:50:00+00:00
236,向下,8,向下,向上,245,112.65145456666403,100.70920128979938,2026-01-13 18:20:00+00:00,2026-01-13 19:00:00+00:00
236,向下,9,向下,向上,245,112.65145456666403,100.70920128979938,2026-01-13 18:20:00+00:00,2026-01-13 19:00:00+00:00
243,向上,0,向上,向下,244,104.86391233515093,100.70920128979938,2026-01-13 17:50:00+00:00,2026-01-13 18:20:00+00:00
243,向上,1,向上,向下,246 | 248 | 250 | 252,112.65145456666403,92.52660267359592,2026-01-13 19:00:00+00:00,2026-01-14 08:50:00+00:00
243,向上,2,向下,向下,254,97.63579705179592,88.65825947904035,2026-01-14 09:15:00+00:00,2026-01-14 09:50:00+00:00
243,向上,3,向上,向下,246 | 248 | 250 | 252,112.65145456666403,92.52660267359592,2026-01-13 19:00:00+00:00,2026-01-14 08:50:00+00:00
243,向上,4,向上,向下,254,97.63579705179592,88.65825947904035,2026-01-14 09:15:00+00:00,2026-01-14 09:50:00+00:00
243,向上,5,向上,向下,248 | 250 | 252,111.5601514360408,92.52660267359592,2026-01-13 23:30:00+00:00,2026-01-14 08:50:00+00:00
243,向上,6,向上,向下,254,97.63579705179592,88.65825947904035,2026-01-14 09:15:00+00:00,2026-01-14 09:50:00+00:00
243,向上,7,向上,向下,250,111.21345675011607,88.35991652123626,2026-01-14 03:25:00+00:00,2026-01-14 05:40:00+00:00
243,向上,8,向上,向下,252,111.43384505555291,92.52660267359592,2026-01-14 07:45:00+00:00,2026-01-14 08:50:00+00:00
243,向上,9,向下,向下,254,97.63579705179592,88.65825947904035,2026-01-14 09:15:00+00:00,2026-01-14 09:50:00+00:00
243,向上,10,向上,向下,252,111.43384505555291,92.52660267359592,2026-01-14 07:45:00+00:00,2026-01-14 08:50:00+00:00
243,向上,11,向上,向下,254,97.63579705179592,88.65825947904035,2026-01-14 09:15:00+00:00,2026-01-14 09:50:00+00:00
243,向上,12,向上,向下,254,97.63579705179592,88.65825947904035,2026-01-14 09:15:00+00:00,2026-01-14 09:50:00+00:00
246,向下,0,向下,向上,247 | 249,111.21345675011607,87.8284301303528,2026-01-13 21:10:00+00:00,2026-01-14 03:25:00+00:00
246,向下,1,向下,向上,251,111.43384505555291,88.35991652123626,2026-01-14 05:40:00+00:00,2026-01-14 07:45:00+00:00
246,向下,2,向下,向上,249,111.21345675011607,87.98680554508815,2026-01-14 01:30:00+00:00,2026-01-14 03:25:00+00:00
246,向下,3,向下,向上,251,111.43384505555291,88.35991652123626,2026-01-14 05:40:00+00:00,2026-01-14 07:45:00+00:00
246,向下,4,向下,向上,251 | 253,97.63579705179592,88.35991652123626,2026-01-14 05:40:00+00:00,2026-01-14 09:15:00+00:00
246,向下,5,向下,向上,255,107.23807180943189,88.65825947904035,2026-01-14 09:50:00+00:00,2026-01-14 10:50:00+00:00
246,向下,6,向下,向上,253,97.63579705179592,92.52660267359592,2026-01-14 08:50:00+00:00,2026-01-14 09:15:00+00:00
246,向下,7,向下,向上,255,107.23807180943189,88.65825947904035,2026-01-14 09:50:00+00:00,2026-01-14 10:50:00+00:00
246,向下,8,向上,向上,257,110.54883416216087,102.84414118792758,2026-01-14 11:20:00+00:00,2026-01-14 12:00:00+00:00
246,向下,9,向下,向上,255,107.23807180943189,88.65825947904035,2026-01-14 09:50:00+00:00,2026-01-14 10:50:00+00:00
246,向下,10,向下,向上,257,110.54883416216087,102.84414118792758,2026-01-14 11:20:00+00:00,2026-01-14 12:00:00+00:00
246,向下,11,向下,向上,257,110.54883416216087,102.84414118792758,2026-01-14 11:20:00+00:00,2026-01-14 12:00:00+00:00
255,向上,0,向上,向下,256,107.23807180943189,102.84414118792758,2026-01-14 10:50:00+00:00,2026-01-14 11:20:00+00:00
255,向上,1,向上,向下,258,110.54883416216087,92.74278309690678,2026-01-14 12:00:00+00:00,2026-01-14 13:15:00+00:00
255,向上,2,向下,向下,260,97.73008136306034,88.87646074428991,2026-01-14 13:30:00+00:00,2026-01-14 14:10:00+00:00
255,向上,3,向上,向下,258,110.54883416216087,92.74278309690678,2026-01-14 12:00:00+00:00,2026-01-14 13:15:00+00:00
255,向上,4,向上,向下,260,97.73008136306034,88.87646074428991,2026-01-14 13:30:00+00:00,2026-01-14 14:10:00+00:00
255,向上,5,向上,向下,260,97.73008136306034,88.87646074428991,2026-01-14 13:30:00+00:00,2026-01-14 14:10:00+00:00
258,向下,0,向下,向上,259,97.73008136306034,92.74278309690678,2026-01-14 13:15:00+00:00,2026-01-14 13:30:00+00:00
258,向下,1,向下,向上,261,107.62918424545069,88.87646074428991,2026-01-14 14:10:00+00:00,2026-01-14 15:15:00+00:00
258,向下,2,向上,向上,263,110.59159920432657,102.92760681964948,2026-01-14 15:35:00+00:00,2026-01-14 16:10:00+00:00
258,向下,3,向下,向上,261,107.62918424545069,88.87646074428991,2026-01-14 14:10:00+00:00,2026-01-14 15:15:00+00:00
258,向下,4,向下,向上,263,110.59159920432657,102.92760681964948,2026-01-14 15:35:00+00:00,2026-01-14 16:10:00+00:00
258,向下,5,向下,向上,263,110.59159920432657,102.92760681964948,2026-01-14 15:35:00+00:00,2026-01-14 16:10:00+00:00
261,向上,0,向上,向下,262,107.62918424545069,102.92760681964948,2026-01-14 15:15:00+00:00,2026-01-14 15:35:00+00:00
261,向上,1,向上,向下,264 | 266,110.59159920432657,91.11665787474692,2026-01-14 16:10:00+00:00,2026-01-14 21:20:00+00:00
261,向上,2,向下,向下,268,96.70452854861905,90.50241512504655,2026-01-14 21:50:00+00:00,2026-01-14 22:25:00+00:00
261,向上,3,向上,向下,264 | 266,110.59159920432657,91.11665787474692,2026-01-14 16:10:00+00:00,2026-01-14 21:20:00+00:00
261,向上,4,向上,向下,268,96.70452854861905,90.50241512504655,2026-01-14 21:50:00+00:00,2026-01-14 22:25:00+00:00
261,向上,5,向上,向下,266,110.07802154729846,91.11665787474692,2026-01-14 20:25:00+00:00,2026-01-14 21:20:00+00:00
261,向上,6,向上,向下,268,96.70452854861905,90.50241512504655,2026-01-14 21:50:00+00:00,2026-01-14 22:25:00+00:00
261,向上,7,向上,向下,268,96.70452854861905,90.50241512504655,2026-01-14 21:50:00+00:00,2026-01-14 22:25:00+00:00
264,向下,0,向下,向上,265 | 267,96.70452854861905,89.27015850066441,2026-01-14 18:25:00+00:00,2026-01-14 21:50:00+00:00
264,向下,1,向下,向上,269,109.59935051051197,90.50241512504655,2026-01-14 22:25:00+00:00,2026-01-14 23:35:00+00:00
264,向下,2,向下,向上,267,96.70452854861905,91.11665787474692,2026-01-14 21:20:00+00:00,2026-01-14 21:50:00+00:00
264,向下,3,向下,向上,269,109.59935051051197,90.50241512504655,2026-01-14 22:25:00+00:00,2026-01-14 23:35:00+00:00
264,向下,4,向上,向上,271,110.1892086671768,102.94517270420171,2026-01-15 00:05:00+00:00,2026-01-15 00:50:00+00:00
264,向下,5,向下,向上,269,109.59935051051197,90.50241512504655,2026-01-14 22:25:00+00:00,2026-01-14 23:35:00+00:00
264,向下,6,向下,向上,271,110.1892086671768,102.94517270420171,2026-01-15 00:05:00+00:00,2026-01-15 00:50:00+00:00
264,向下,7,向下,向上,271,110.1892086671768,102.94517270420171,2026-01-15 00:05:00+00:00,2026-01-15 00:50:00+00:00
269,向上,0,向上,向下,270,109.59935051051197,102.94517270420171,2026-01-14 23:35:00+00:00,2026-01-15 00:05:00+00:00
269,向上,1,向上,向下,272 | 274,110.1892086671768,103.1366765244581,2026-01-15 00:50:00+00:00,2026-01-15 04:20:00+00:00
269,向上,2,向下,向下,276,109.92085955478399,89.62247220897916,2026-01-15 04:55:00+00:00,2026-01-15 05:55:00+00:00
269,向上,3,向上,向下,272 | 274,110.1892086671768,103.1366765244581,2026-01-15 00:50:00+00:00,2026-01-15 04:20:00+00:00
269,向上,4,向上,向下,276,109.92085955478399,89.62247220897916,2026-01-15 04:55:00+00:00,2026-01-15 05:55:00+00:00
269,向上,5,向上,向下,274,108.86308954341749,103.1366765244581,2026-01-15 03:40:00+00:00,2026-01-15 04:20:00+00:00
269,向上,6,向上,向下,276,109.92085955478399,89.62247220897916,2026-01-15 04:55:00+00:00,2026-01-15 05:55:00+00:00
269,向上,8,向上,向下,276,109.92085955478399,89.62247220897916,2026-01-15 04:55:00+00:00,2026-01-15 05:55:00+00:00
272,向下,0,向下,向上,273,108.86308954341749,90.48885401475872,2026-01-15 02:45:00+00:00,2026-01-15 03:40:00+00:00
272,向下,1,向下,向上,275,109.92085955478399,103.1366765244581,2026-01-15 04:20:00+00:00,2026-01-15 04:55:00+00:00
272,向下,2,向下,向上,275,109.92085955478399,103.1366765244581,2026-01-15 04:20:00+00:00,2026-01-15 04:55:00+00:00
272,向下,3,向下,向上,277,96.46011250261338,89.62247220897916,2026-01-15 05:55:00+00:00,2026-01-15 06:35:00+00:00
272,向下,4,向上,向上,279,109.09600864281691,91.19923242581523,2026-01-15 06:55:00+00:00,2026-01-15 07:50:00+00:00
272,向下,5,向下,向上,277,96.46011250261338,89.62247220897916,2026-01-15 05:55:00+00:00,2026-01-15 06:35:00+00:00
272,向下,6,向下,向上,279,109.09600864281691,91.19923242581523,2026-01-15 06:55:00+00:00,2026-01-15 07:50:00+00:00
272,向下,7,向下,向上,279 | 281,109.06479040843422,91.19923242581523,2026-01-15 06:55:00+00:00,2026-01-15 09:15:00+00:00
272,向下,10,向下,向上,281,109.06479040843422,103.9401348180481,2026-01-15 08:50:00+00:00,2026-01-15 09:15:00+00:00
277,向上,0,向上,向下,278,96.46011250261338,91.19923242581523,2026-01-15 06:35:00+00:00,2026-01-15 06:55:00+00:00
277,向上,1,向上,向下,280,109.09600864281691,103.9401348180481,2026-01-15 07:50:00+00:00,2026-01-15 08:50:00+00:00
277,向上,2,向下,向下,282,109.06479040843422,89.98405573556515,2026-01-15 09:15:00+00:00,2026-01-15 10:10:00+00:00
277,向上,3,向上,向下,280,109.09600864281691,103.9401348180481,2026-01-15 07:50:00+00:00,2026-01-15 08:50:00+00:00
277,向上,4,向上,向下,282,109.06479040843422,89.98405573556515,2026-01-15 09:15:00+00:00,2026-01-15 10:10:00+00:00
277,向上,5,向上,向下,282,109.06479040843422,89.98405573556515,2026-01-15 09:15:00+00:00,2026-01-15 10:10:00+00:00
277,向上,6,向上,向下,284,110.28329339729986,102.7206069423733,2026-01-15 12:20:00+00:00,2026-01-15 13:00:00+00:00
277,向上,7,向下,向下,286,108.53808314682004,90.14599081514267,2026-01-15 13:30:00+00:00,2026-01-15 14:20:00+00:00
277,向上,8,向上,向下,284,110.28329339729986,102.7206069423733,2026-01-15 12:20:00+00:00,2026-01-15 13:00:00+00:00
277,向上,9,向上,向下,286,108.53808314682004,90.14599081514267,2026-01-15 13:30:00+00:00,2026-01-15 14:20:00+00:00
277,向上,10,向上,向下,286,108.53808314682004,90.14599081514267,2026-01-15 13:30:00+00:00,2026-01-15 14:20:00+00:00
280,向下,0,向下,向上,281,109.06479040843422,103.9401348180481,2026-01-15 08:50:00+00:00,2026-01-15 09:15:00+00:00
280,向下,1,向下,向上,283,110.28329339729986,89.98405573556515,2026-01-15 10:10:00+00:00,2026-01-15 12:20:00+00:00
280,向下,3,向下,向上,283,110.28329339729986,89.98405573556515,2026-01-15 10:10:00+00:00,2026-01-15 12:20:00+00:00
284,向下,0,向下,向上,285,108.53808314682004,102.7206069423733,2026-01-15 13:00:00+00:00,2026-01-15 13:30:00+00:00
284,向下,1,向下,向上,287,97.3186829557063,90.14599081514267,2026-01-15 14:20:00+00:00,2026-01-15 15:00:00+00:00
284,向下,2,向上,向上,289,110.54848436717462,92.28805762250263,2026-01-15 15:35:00+00:00,2026-01-15 16:25:00+00:00
284,向下,3,向下,向上,287,97.3186829557063,90.14599081514267,2026-01-15 14:20:00+00:00,2026-01-15 15:00:00+00:00
284,向下,4,向下,向上,289,110.54848436717462,92.28805762250263,2026-01-15 15:35:00+00:00,2026-01-15 16:25:00+00:00
284,向下,5,向下,向上,289 | 291,107.62312699433441,92.28805762250263,2026-01-15 15:35:00+00:00,2026-01-15 17:30:00+00:00
284,向下,8,向下,向上,291,107.62312699433441,102.82505428769824,2026-01-15 17:05:00+00:00,2026-01-15 17:30:00+00:00
287,向上,0,向上,向下,288,97.3186829557063,92.28805762250263,2026-01-15 15:00:00+00:00,2026-01-15 15:35:00+00:00
287,向上,1,向上,向下,290,110.54848436717462,102.82505428769824,2026-01-15 16:25:00+00:00,2026-01-15 17:05:00+00:00
287,向上,2,向下,向下,292,107.62312699433441,89.59522796657207,2026-01-15 17:30:00+00:00,2026-01-15 18:45:00+00:00
287,向上,3,向上,向下,290,110.54848436717462,102.82505428769824,2026-01-15 16:25:00+00:00,2026-01-15 17:05:00+00:00
287,向上,4,向上,向下,292,107.62312699433441,89.59522796657207,2026-01-15 17:30:00+00:00,2026-01-15 18:45:00+00:00
287,向上,5,向上,向下,292 | 294,107.62312699433441,92.81308113651193,2026-01-15 17:30:00+00:00,2026-01-15 19:50:00+00:00
287,向上,8,向上,向下,294,97.392113740119,92.81308113651193,2026-01-15 19:20:00+00:00,2026-01-15 19:50:00+00:00
290,向下,0,向下,向上,291,107.62312699433441,102.82505428769824,2026-01-15 17:05:00+00:00,2026-01-15 17:30:00+00:00
290,向下,1,向下,向上,293,97.392113740119,89.59522796657207,2026-01-15 18:45:00+00:00,2026-01-15 19:20:00+00:00
290,向下,2,向上,向上,295,110.96729058461433,92.81308113651193,2026-01-15 19:50:00+00:00,2026-01-15 20:45:00+00:00
290,向下,3,向下,向上,293,97.392113740119,89.59522796657207,2026-01-15 18:45:00+00:00,2026-01-15 19:20:00+00:00
290,向下,4,向下,向上,295,110.96729058461433,92.81308113651193,2026-01-15 19:50:00+00:00,2026-01-15 20:45:00+00:00
290,向下,5,向下,向上,295,110.96729058461433,92.81308113651193,2026-01-15 19:50:00+00:00,2026-01-15 20:45:00+00:00
290,向下,6,向下,向上,297,97.99884881365656,88.70377354979387,2026-01-15 22:50:00+00:00,2026-01-15 23:30:00+00:00
290,向下,7,向上,向上,299,111.5349572358613,93.63511030613259,2026-01-16 00:10:00+00:00,2026-01-16 00:50:00+00:00
290,向下,8,向下,向上,297,97.99884881365656,88.70377354979387,2026-01-15 22:50:00+00:00,2026-01-15 23:30:00+00:00
290,向下,9,向下,向上,299,111.5349572358613,93.63511030613259,2026-01-16 00:10:00+00:00,2026-01-16 00:50:00+00:00
290,向下,10,向下,向上,299,111.5349572358613,93.63511030613259,2026-01-16 00:10:00+00:00,2026-01-16 00:50:00+00:00
293,向上,0,向上,向下,294,97.392113740119,92.81308113651193,2026-01-15 19:20:00+00:00,2026-01-15 19:50:00+00:00
293,向上,1,向上,向下,296,110.96729058461433,88.70377354979387,2026-01-15 20:45:00+00:00,2026-01-15 22:50:00+00:00
293,向上,3,向上,向下,296,110.96729058461433,88.70377354979387,2026-01-15 20:45:00+00:00,2026-01-15 22:50:00+00:00
297,向上,0,向上,向下,298,97.99884881365656,93.63511030613259,2026-01-15 23:30:00+00:00,2026-01-16 00:10:00+00:00
297,向上,1,向上,向下,300,111.5349572358613,102.30991196647473,2026-01-16 00:50:00+00:00,2026-01-16 01:45:00+00:00
297,向上,2,向下,向下,302,107.1678343955245,88.27700274265626,2026-01-16 02:10:00+00:00,2026-01-16 03:10:00+00:00
297,向上,3,向上,向下,300,111.5349572358613,102.30991196647473,2026-01-16 00:50:00+00:00,2026-01-16 01:45:00+00:00
297,向上,4,向上,向下,302,107.1678343955245,88.27700274265626,2026-01-16 02:10:00+00:00,2026-01-16 03:10:00+00:00
297,向上,5,向上,向下,302,107.1678343955245,88.27700274265626,2026-01-16 02:10:00+00:00,2026-01-16 03:10:00+00:00
297,向上,6,向上,向下,304 | 306 | 308,111.5810951189811,100.93091254166156,2026-01-16 05:15:00+00:00,2026-01-16 10:10:00+00:00
297,向上,7,向下,向下,310,105.77916844095172,87.5701227501662,2026-01-16 10:35:00+00:00,2026-01-16 11:35:00+00:00
297,向上,8,向上,向下,304 | 306 | 308,111.5810951189811,100.93091254166156,2026-01-16 05:15:00+00:00,2026-01-16 10:10:00+00:00
297,向上,9,向上,向下,310,105.77916844095172,87.5701227501662,2026-01-16 10:35:00+00:00,2026-01-16 11:35:00+00:00
297,向上,10,向上,向下,306,98.18592954888648,93.9683438994259,2026-01-16 08:00:00+00:00,2026-01-16 08:30:00+00:00
297,向上,11,向上,向下,308,111.3977234276886,100.93091254166156,2026-01-16 09:20:00+00:00,2026-01-16 10:10:00+00:00
297,向上,12,向下,向下,310,105.77916844095172,87.5701227501662,2026-01-16 10:35:00+00:00,2026-01-16 11:35:00+00:00
297,向上,13,向上,向下,308,111.3977234276886,100.93091254166156,2026-01-16 09:20:00+00:00,2026-01-16 10:10:00+00:00
297,向上,14,向上,向下,310,105.77916844095172,87.5701227501662,2026-01-16 10:35:00+00:00,2026-01-16 11:35:00+00:00
297,向上,15,向上,向下,310,105.77916844095172,87.5701227501662,2026-01-16 10:35:00+00:00,2026-01-16 11:35:00+00:00
300,向下,0,向下,向上,301,107.1678343955245,102.30991196647473,2026-01-16 01:45:00+00:00,2026-01-16 02:10:00+00:00
300,向下,1,向下,向上,303,111.5810951189811,88.27700274265626,2026-01-16 03:10:00+00:00,2026-01-16 05:15:00+00:00
300,向下,3,向下,向上,303,111.5810951189811,88.27700274265626,2026-01-16 03:10:00+00:00,2026-01-16 05:15:00+00:00
304,向下,0,向下,向上,305,98.18592954888648,88.56229398600641,2026-01-16 07:30:00+00:00,2026-01-16 08:00:00+00:00
304,向下,1,向下,向上,307,111.3977234276886,93.9683438994259,2026-01-16 08:30:00+00:00,2026-01-16 09:20:00+00:00
304,向下,2,向下,向上,307 | 309,105.77916844095172,93.9683438994259,2026-01-16 08:30:00+00:00,2026-01-16 10:35:00+00:00
304,向下,3,向下,向上,311,111.88874710419175,87.5701227501662,2026-01-16 11:35:00+00:00,2026-01-16 13:35:00+00:00
304,向下,4,向上,向上,313,112.57740694352727,88.19195323685099,2026-01-16 15:50:00+00:00,2026-01-16 17:50:00+00:00
304,向下,5,向下,向上,309,105.77916844095172,100.93091254166156,2026-01-16 10:10:00+00:00,2026-01-16 10:35:00+00:00
304,向下,6,向下,向上,311,111.88874710419175,87.5701227501662,2026-01-16 11:35:00+00:00,2026-01-16 13:35:00+00:00
304,向下,7,向上,向上,313,112.57740694352727,88.19195323685099,2026-01-16 15:50:00+00:00,2026-01-16 17:50:00+00:00
304,向下,8,向下,向上,311,111.88874710419175,87.5701227501662,2026-01-16 11:35:00+00:00,2026-01-16 13:35:00+00:00
304,向下,9,向下,向上,313,112.57740694352727,88.19195323685099,2026-01-16 15:50:00+00:00,2026-01-16 17:50:00+00:00
304,向下,10,向下,向上,313,112.57740694352727,88.19195323685099,2026-01-16 15:50:00+00:00,2026-01-16 17:50:00+00:00
311,向上,0,向上,向下,312,111.88874710419175,88.19195323685099,2026-01-16 13:35:00+00:00,2026-01-16 15:50:00+00:00
311,向上,1,向上,向下,314 | 316 | 318,113.11064916663504,95.83340762482615,2026-01-16 17:50:00+00:00,2026-01-17 00:15:00+00:00
311,向上,2,向下,向下,320,112.90878766516171,87.48609094685861,2026-01-17 02:20:00+00:00,2026-01-17 04:35:00+00:00
311,向上,3,向上,向下,314 | 316,112.57740694352727,95.83340762482615,2026-01-16 17:50:00+00:00,2026-01-16 21:05:00+00:00
311,向上,4,向上,向下,318 | 320 | 322,113.11064916663504,97.05751816044317,2026-01-16 22:10:00+00:00,2026-01-17 05:40:00+00:00
311,向上,5,向下,向下,324,112.5703246547549,87.10681598949975,2026-01-17 06:30:00+00:00,2026-01-17 08:40:00+00:00
311,向上,6,向上,向下,316,99.86181083170514,95.83340762482615,2026-01-16 20:50:00+00:00,2026-01-16 21:05:00+00:00
311,向上,7,向上,向下,318 | 320 | 322,113.11064916663504,97.05751816044317,2026-01-16 22:10:00+00:00,2026-01-17 05:40:00+00:00
311,向上,8,向下,向下,324,112.5703246547549,87.10681598949975,2026-01-17 06:30:00+00:00,2026-01-17 08:40:00+00:00
311,向上,9,向上,向下,318 | 320 | 322,113.11064916663504,97.05751816044317,2026-01-16 22:10:00+00:00,2026-01-17 05:40:00+00:00
311,向上,10,向上,向下,324,112.5703246547549,87.10681598949975,2026-01-17 06:30:00+00:00,2026-01-17 08:40:00+00:00
311,向上,11,向上,向下,320 | 322,112.90878766516171,97.05751816044317,2026-01-17 02:20:00+00:00,2026-01-17 05:40:00+00:00
311,向上,12,向上,向下,324,112.5703246547549,87.10681598949975,2026-01-17 06:30:00+00:00,2026-01-17 08:40:00+00:00
311,向上,13,向上,向下,322,100.41923561486453,97.05751816044317,2026-01-17 05:20:00+00:00,2026-01-17 05:40:00+00:00
311,向上,14,向上,向下,324,112.5703246547549,87.10681598949975,2026-01-17 06:30:00+00:00,2026-01-17 08:40:00+00:00
311,向上,16,向上,向下,324,112.5703246547549,87.10681598949975,2026-01-17 06:30:00+00:00,2026-01-17 08:40:00+00:00
318,向下,0,向下,向上,319 | 321,100.41923561486453,87.1109448286622,2026-01-17 00:15:00+00:00,2026-01-17 05:20:00+00:00
318,向下,1,向下,向上,323,112.5703246547549,97.05751816044317,2026-01-17 05:40:00+00:00,2026-01-17 06:30:00+00:00
